number,Sat,X,Y,Z
290,Satellite/10502,4428.374887,4964.855321,1933.605792
291,Satellite/10503,4041.697683,5099.856576,2378.080444
292,Satellite/10504,3624.260719,5196.044844,2804.456468
293,Satellite/10505,3179.240943,5252.688072,3209.488885
294,Satellite/10506,2710.025224,5269.355173,3590.095154
295,Satellite/10507,2220.184576,5245.919299,3943.37863
296,Satellite/10508,1713.446983,5182.558811,4266.650614
297,Satellite/10509,1193.669024,5079.755922,4557.450811
298,Satellite/10510,664.8065227,4938.293023,4813.566055
299,Satellite/10511,130.8844425,4759.246732,5033.047155
300,Satellite/10512,-404.0337474,4543.9797,5214.223727
301,Satellite/10513,-935.8769964,4294.130238,5355.716908
302,Satellite/10514,-1460.597656,4011.599853,5456.44985
303,Satellite/10515,-1974.202286,3698.53877,5515.655914
304,Satellite/10516,-2472.782045,3357.329574,5532.884505
305,Satellite/10517,-2952.542439,2990.569073,5508.004505
306,Satellite/10518,-3409.832202,2601.048536,5441.205264
307,Satellite/10519,-3841.171083,2191.732448,5332.995166
308,Satellite/10520,-4243.276333,1765.735954,5184.197755
309,Satellite/10521,-4613.087688,1326.301142,4995.945468
310,Satellite/10522,-4947.79066,876.772378,4769.67102
311,Satellite/10523,-5244.837958,420.5708467,4507.096495
312,Satellite/10524,-5501.968872,-38.83148265,4210.220245
313,Satellite/10525,-5717.22648,-497.938281,3881.301676
314,Satellite/10526,-5888.972543,-953.2554684,3522.844058
315,Satellite/10527,-6015.899969,-1401.317806,3137.575469
316,Satellite/10528,-6097.042764,-1838.715269,2728.428037
317,Satellite/10529,-6131.783382,-2262.118999,2298.51562
318,Satellite/10530,-6119.857426,-2668.306637,1851.110111
319,Satellite/10531,-6061.355659,-3054.18685,1389.616536
320,Satellite/10532,-5956.723316,-3416.822857,917.5471405
321,Satellite/10533,-5806.756712,-3753.45478,438.4946571
322,Satellite/10534,-5612.597183,-4061.520645,-43.89503532
323,Satellite/10535,-5375.7224,-4338.675885,-525.95066
324,Satellite/10536,-5097.935124,-4582.811182,-1004.003483
325,Satellite/10537,-4781.349484,-4792.068519,-1474.415233
326,Satellite/10538,-4428.374887,-4964.855321,-1933.605792
327,Satellite/10539,-4041.697683,-5099.856576,-2378.080444
328,Satellite/10540,-3624.260719,-5196.044844,-2804.456468
329,Satellite/10541,-3179.240943,-5252.688072,-3209.488885
330,Satellite/10542,-2710.025224,-5269.355173,-3590.095154
331,Satellite/10543,-2220.184576,-5245.919299,-3943.37863
332,Satellite/10544,-1713.446983,-5182.558811,-4266.650614
333,Satellite/10545,-1193.669024,-5079.755922,-4557.450811
334,Satellite/10546,-664.8065227,-4938.293023,-4813.566055
335,Satellite/10547,-130.8844425,-4759.246732,-5033.047155
336,Satellite/10548,404.0337474,-4543.9797,-5214.223727
337,Satellite/10549,935.8769964,-4294.130238,-5355.716908
338,Satellite/10550,1460.597656,-4011.599853,-5456.44985
339,Satellite/10551,1974.202286,-3698.53877,-5515.655914
340,Satellite/10552,2472.782045,-3357.329574,-5532.884505
341,Satellite/10553,2952.542439,-2990.569073,-5508.004505
342,Satellite/10554,3409.832202,-2601.048536,-5441.205264
343,Satellite/10555,3841.171083,-2191.732448,-5332.995166
344,Satellite/10556,4243.276333,-1765.735954,-5184.197755
345,Satellite/10557,4613.087688,-1326.301142,-4995.945468
346,Satellite/10558,4947.79066,-876.772378,-4769.67102
347,Satellite/10559,5244.837958,-420.5708467,-4507.096495
348,Satellite/10560,5501.968872,38.83148265,-4210.220245
349,Satellite/10561,5717.22648,497.938281,-3881.301676
350,Satellite/10562,5888.972543,953.2554684,-3522.844058
351,Satellite/10563,6015.899969,1401.317806,-3137.575469
352,Satellite/10564,6097.042764,1838.715269,-2728.428037
353,Satellite/10565,6131.783382,2262.118999,-2298.51562
354,Satellite/10566,6119.857426,2668.306637,-1851.110111
355,Satellite/10567,6061.355659,3054.18685,-1389.616536
356,Satellite/10568,5956.723316,3416.822857,-917.5471405
357,Satellite/10569,5806.756712,3753.45478,-438.4946571
358,Satellite/10570,5612.597183,4061.520645,43.89503532
359,Satellite/10571,5375.7224,4338.675885,525.95066
360,Satellite/10572,5097.935124,4582.811182,1004.003483
361,Satellite/10601,2940.282194,6000.287854,1830.412563
362,Satellite/10602,2535.896084,6031.305107,2278.533215
363,Satellite/10603,2112.210273,6016.420487,2709.312855
364,Satellite/10604,1672.449268,5955.747274,3119.472987
365,Satellite/10605,1219.959913,5849.747228,3505.892046
366,Satellite/10606,758.1859266,5699.227073,3865.62915
367,Satellite/10607,290.6416877,5505.33236,4195.946482
368,Satellite/10608,-179.11451,5269.538742,4494.330128
369,Satellite/10609,-647.5075381,4993.640753,4758.509207
370,Satellite/10610,-1110.972643,4679.738143,4986.473159
371,Satellite/10611,-1565.982575,4330.219899,5176.487038
372,Satellite/10612,-2009.074434,3947.746068,5327.104726
373,Satellite/10613,-2436.876024,3535.227505,5437.17993
374,Satellite/10614,-2846.131515,3095.803727,5505.874912
375,Satellite/10615,-3233.726228,2632.819012,5532.666861
376,Satellite/10616,-3596.710331,2149.796955,5517.351874
377,Satellite/10617,-3932.321297,1650.413646,5460.046509
378,Satellite/10618,-4238.004923,1138.469692,5361.186892
379,Satellite/10619,-4511.434773,617.8612958,5221.525407
380,Satellite/10620,-4750.52988,92.55060241,5042.124959
381,Satellite/10621,-4953.470586,-433.4644569,4824.350897
382,Satellite/10622,-5118.71239,-956.18059,4569.860611
383,Satellite/10623,-5244.997702,-1471.619612,4280.590927
384,Satellite/10624,-5331.365415,-1975.858719,3958.743361
385,Satellite/10625,-5377.158217,-2465.060349,3606.767367
386,Satellite/10626,-5382.027599,-2935.501381,3227.341696
387,Satellite/10627,-5345.936501,-3383.601475,2823.354006
388,Satellite/10628,-5269.159598,-3805.950319,2397.878888
389,Satellite/10629,-5152.281209,-4199.333582,1954.154463
390,Satellite/10630,-4996.190849,-4560.757382,1495.557742
391,Satellite/10631,-4802.07646,-4887.471064,1025.578924
392,Satellite/10632,-4571.41537,-5176.98814,547.7948318
393,Satellite/10633,-4305.963048,-5427.10521,65.84168965
394,Satellite/10634,-4007.739747,-5635.918733,-416.6125475
395,Satellite/10635,-3679.015127,-5801.839511,-895.8961116
396,Satellite/10636,-3322.290981,-5923.604787,-1368.361365
397,Satellite/10637,-2940.282194,-6000.287854,-1830.412563
398,Satellite/10638,-2535.896084,-6031.305107,-2278.533215
399,Satellite/10639,-2112.210273,-6016.420487,-2709.312855
400,Satellite/10640,-1672.449268,-5955.747274,-3119.472987
401,Satellite/10641,-1219.959913,-5849.747228,-3505.892046
402,Satellite/10642,-758.1859266,-5699.227073,-3865.62915
403,Satellite/10643,-290.6416877,-5505.33236,-4195.946482
404,Satellite/10644,179.11451,-5269.538742,-4494.330128
405,Satellite/10645,647.5075381,-4993.640753,-4758.509207
406,Satellite/10646,1110.972643,-4679.738143,-4986.473159
407,Satellite/10647,1565.982575,-4330.219899,-5176.487038
408,Satellite/10648,2009.074434,-3947.746068,-5327.104726
409,Satellite/10649,2436.876024,-3535.227505,-5437.17993
410,Satellite/10650,2846.131515,-3095.803727,-5505.874912
411,Satellite/10651,3233.726228,-2632.819012,-5532.666861
412,Satellite/10652,3596.710331,-2149.796955,-5517.351874
413,Satellite/10653,3932.321297,-1650.413646,-5460.046509
414,Satellite/10654,4238.004923,-1138.469692,-5361.186892
415,Satellite/10655,4511.434773,-617.8612958,-5221.525407
416,Satellite/10656,4750.52988,-92.55060241,-5042.124959
417,Satellite/10657,4953.470586,433.4644569,-4824.350897
418,Satellite/10658,5118.71239,956.18059,-4569.860611
419,Satellite/10659,5244.997702,1471.619612,-4280.590927
420,Satellite/10660,5331.365415,1975.858719,-3958.743361
421,Satellite/10661,5377.158217,2465.060349,-3606.767367
422,Satellite/10662,5382.027599,2935.501381,-3227.341696
423,Satellite/10663,5345.936501,3383.601475,-2823.354006
424,Satellite/10664,5269.159598,3805.950319,-2397.878888
425,Satellite/10665,5152.281209,4199.333582,-1954.154463
426,Satellite/10666,4996.190849,4560.757382,-1495.557742
427,Satellite/10667,4802.07646,4887.471064,-1025.578924
428,Satellite/10668,4571.41537,5176.98814,-547.7948318
429,Satellite/10669,4305.963048,5427.10521,-65.84168965
430,Satellite/10670,4007.739747,5635.918733,416.6125475
431,Satellite/10671,3679.015127,5801.839511,895.8961116
432,Satellite/10672,3322.290981,5923.604787,1368.361365
433,Satellite/10701,824.7284039,6524.942301,2178.089734
434,Satellite/10702,423.4001311,6402.464062,2613.103542
435,Satellite/10703,18.84952766,6231.259206,3028.230055
436,Satellite/10704,-385.8445321,6012.630704,3420.309909
437,Satellite/10705,-787.602082,5748.242452,3786.359139
438,Satellite/10706,-1183.365504,5440.106605,4123.591889
439,Satellite/10707,-1570.122801,5090.568261,4429.441616
440,Satellite/10708,-1944.930515,4702.287619,4701.580617
441,Satellite/10709,-2304.936133,4278.219729,4937.937751
442,Satellite/10710,-2647.399796,3821.592004,5136.714197
443,Satellite/10711,-2969.715147,3335.879656,5296.397146
444,Satellite/10712,-3269.429173,2824.779249,5415.771315
445,Satellite/10713,-3544.260869,2292.180567,5493.928194
446,Satellite/10714,-3792.1186,1742.137006,5530.272962
447,Satellite/10715,-4011.116018,1178.834731,5524.529014
448,Satellite/10716,-4199.586422,606.5608122,5476.740064
449,Satellite/10717,-4356.095437,29.67059908,5387.269815
450,Satellite/10718,-4479.451935,-547.4454252,5256.79919
451,Satellite/10719,-4568.7171,-1120.395059,5086.321149
452,Satellite/10720,-4623.211569,-1684.81781,4877.133133
453,Satellite/10721,-4642.520606,-2236.418081,4630.827189
454,Satellite/10722,-4626.497258,-2770.997859,4349.277854
455,Satellite/10723,-4575.263472,-3284.488671,4034.627888
456,Satellite/10724,-4489.209169,-3772.98254,3689.271968
457,Satellite/10725,-4368.989273,-4232.761734,3315.83846
458,Satellite/10726,-4215.518731,-4660.327056,2917.16942
459,Satellite/10727,-4029.965546,-5052.424474,2496.298958
460,Satellite/10728,-3813.74189,-5406.069892,2056.430155
461,Satellite/10729,-3568.493355,-5718.571853,1600.910676
462,Satellite/10730,-3296.086431,-5987.55203,1133.207301
463,Satellite/10731,-2998.594299,-6210.96332,656.8795333
464,Satellite/10732,-2678.281054,-6387.10543,175.552516
465,Satellite/10733,-2337.584473,-6514.63781,-307.1105619
466,Satellite/10734,-1979.097462,-6592.589863,-787.436343
467,Satellite/10735,-1605.548325,-6620.368326,-1261.769258
468,Satellite/10736,-1219.779996,-6597.761789,-1726.499347
469,Satellite/10737,-824.7284039,-6524.942301,-2178.089734
470,Satellite/10738,-423.4001311,-6402.464062,-2613.103542
471,Satellite/10739,-18.84952766,-6231.259206,-3028.230055
472,Satellite/10740,385.8445321,-6012.630704,-3420.309909
473,Satellite/10741,787.602082,-5748.242452,-3786.359139
